,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
359,3886,ANAMOSA,14.9503166803,237926.28,194.861818182,52205,Jones,6509.54,5.33131859132,18927.0,15.5012285012,2015-01-05,2016-03-28
360,3888,GRINNELL,15.4438277898,197731.12,176.388153434,50112,Poweshiek,6082.99,5.42639607493,14739.0,13.1480820696,2015-01-08,2016-03-31
361,3889,WAVERLY,14.6136105258,218759.04,215.102300885,50677,Bremer,5260.41,5.17247787611,18265.5,17.9601769912,2015-01-06,2016-03-29
362,3890,CEDAR RAPIDS,19.6124073382,162216.76,29.7427136047,52405,Linn,17469.56,3.20307297396,10866.44,1.99237990466,2015-01-07,2016-03-30
365,3896,IOWA CITY,21.8100350353,167885.78,51.5619717445,52240,Johnson,10505.07,3.22637285012,9490.24,2.91469287469,2015-01-07,2016-03-30
366,3899,WEST DES MOINES,15.4374482007,447009.98,162.489996365,50266,Polk,14652.45,5.32622682661,31452.25,11.4330243548,2015-01-05,2016-03-28
367,3901,FORT DODGE,19.984115728,75687.2,181.940384615,50501,Webster,2757.86,6.62947115385,4095.0,9.84375,2015-01-06,2016-03-29
368,3907,MUSCATINE,19.3649446164,80873.36,33.5713408053,52761,Muscatine,8571.0,3.55790784558,5768.03,2.39436695724,2015-01-05,2016-03-28
370,3909,MELCHER-DALLAS,17.7289012048,132471.06,102.294254826,50163,Marion,6546.96,5.05556756757,8994.05,6.94521235521,2015-01-07,2016-03-30
371,3910,RIVERSIDE,24.3866457048,116468.91,193.469950166,52327,Washington,4538.19,7.53852159468,5414.0,8.99335548173,2015-01-05,2016-03-28
372,3912,CEDAR RAPIDS,21.0180972195,131824.93,30.6783639749,52405,Linn,14491.84,3.3725482895,8733.09,2.03236909472,2015-01-06,2016-03-29
373,3916,OTTUMWA,17.3728897227,81632.31,28.8657390382,52501,Wapello,7963.6,2.81598302687,6332.48,2.23920792079,2015-01-07,2016-03-30
374,3917,DAVENPORT,19.5141537129,162146.98,63.8625364317,52804,Scott,8908.69,3.50873966128,11256.49,4.433434423,2015-01-05,2016-03-28
375,3918,DAVENPORT,18.0658453008,59249.17,61.7822419187,52802,Scott,3182.52,3.3185818561,4791.52,4.99637122002,2015-01-05,2016-03-28
376,3920,CLINTON,18.5027233121,128991.93,30.0961105926,52732,Clinton,15533.06,3.6241390574,9765.5,2.27846476902,2015-01-08,2016-03-31
378,3926,IOWA CITY,18.0260994948,880735.4,171.049796077,52240,Johnson,25088.42,4.87248397747,68198.3,13.2449601864,2015-01-07,2016-03-30
379,3928,NORTH LIBERTY,20.9624162425,125630.13,47.443402568,52317,Johnson,9722.3,3.67156344411,8161.81,3.08225453172,2015-01-07,2016-03-30
380,3930,ST LUCAS,16.0943065754,63801.42,149.068738318,52166,Fayette,2849.33,6.65731308411,4556.37,10.6457242991,2015-01-07,2016-03-30
381,3932,MAPLETON,16.0771029577,222135.34,65.8764353499,51034,Monona,17386.46,5.15612692764,16585.86,4.91870106762,2015-01-07,2016-03-30
382,3934,MAQUOKETA,14.0371614907,193827.0,168.545217391,52060,Jackson,5990.72,5.20932173913,16006.5,13.9186956522,2015-01-05,2016-03-28
383,3942,TOLEDO,17.3139478019,373457.46,75.4002543913,52342,Tama,22800.63,4.60339794064,27892.34,5.63140318999,2015-01-06,2016-03-29
384,3943,NEVADA,15.7399323711,134323.52,35.7243404255,50201,Story,14695.91,3.90848670213,11011.09,2.92848138298,2015-01-07,2016-03-30
385,3944,DUBUQUE,16.8315258659,938522.92,669.895017844,52002,Dubuque,8366.64,5.97190578158,64480.9,46.024910778,2015-01-07,2016-03-29
386,3947,BROOKLYN,17.4104383656,99949.91,63.988418694,52211,Poweshiek,7762.25,4.96943021767,7528.47,4.8197631242,2015-01-07,2016-03-30
387,3949,PELLA,15.0048391615,209263.92,198.542618596,50219,Marion,5408.81,5.13169829222,15129.0,14.3538899431,2015-01-07,2016-03-30
388,3950,STATE CENTER,14.0004799557,40636.11,31.4520975232,50247,Iowa,5088.18,3.93821981424,3705.13,2.86774767802,2015-01-08,2016-03-29
389,3952,BETTENDORF,23.4907161536,3040704.69,331.882197119,52722,Scott,61366.57,6.69794477188,169589.94,18.5101440733,2015-01-05,2016-03-30
390,3957,EDGEWOOD,13.9592830834,49495.12,68.3634254144,52042,Clayton,3403.01,4.70029005525,4006.0,5.53314917127,2015-01-05,2016-03-28
391,3959,DUBUQUE,14.8239861404,66497.85,49.5513040238,52001,Dubuque,5026.38,3.74543964232,6581.19,4.90401639344,2015-01-07,2016-03-29
392,3963,COUNCIL BLUFFS,17.6718389835,196183.82,42.2718853695,51501,Pottawattamie,15723.71,3.38800043094,13844.34,2.98305106658,2015-01-06,2016-03-29
393,3964,SIOUX RAPIDS,14.1324912095,71239.37,50.6321037669,50585,Buena Vista,6541.56,4.64929637527,6031.11,4.28650319829,2015-01-07,2016-03-30
394,3968,MONROE,14.5051790634,40550.56,83.7821487603,50170,Jasper,2214.93,4.57630165289,3053.25,6.3083677686,2015-01-08,2016-03-31
399,3980,IOWA CITY,14.544226702,568809.71,157.696065983,52246,Johnson,18190.92,5.0432270585,42633.25,11.8195869143,2015-01-07,2016-03-30
400,3981,SIOUX CENTER,15.0845795043,350648.01,170.881096491,51250,Sioux,11017.52,5.36916179337,26095.5,12.7171052632,2015-01-06,2016-03-29
401,3986,SIOUX CITY,20.389954944,352459.59,100.991286533,51101,Woodbury,18362.03,5.26132664756,21995.32,6.30238395415,2015-01-07,2016-03-30
402,3987,ALGONA,16.9360998806,266421.4,148.424178273,50511,Kossuth,9272.27,5.16561002786,20124.83,11.2116044568,2015-01-07,2016-03-30
403,3989,CHEROKEE,16.1315283448,160436.9,97.2344848485,51012,Cherokee,7342.8,4.45018181818,12018.89,7.28417575758,2015-01-06,2016-03-29
404,3990,OSKALOOSA,20.5951299878,348828.89,71.9679987621,52577,Mahaska,26259.7,5.41772230246,24717.95,5.09963895193,2015-01-07,2016-03-30
405,3993,WATERLOO,21.1525963002,288844.75,113.673652105,50701,Black Hawk,10354.07,4.07480125935,15951.33,6.27757969303,2015-01-08,2016-03-31
406,3995,CEDAR FALLS,18.0204289052,393406.74,229.793656542,50613,Black Hawk,9228.36,5.39039719626,27331.7,15.9647780374,2015-01-08,2016-03-31
407,3997,OSCEOLA,15.439161365,126026.7,170.076518219,50213,Clarke,4020.34,5.42556005398,9109.5,12.2935222672,2015-01-08,2016-03-31
408,4000,WOODBINE,14.074742303,59126.53,50.9711465517,51579,Harrison,4535.87,3.91023275862,4849.85,4.18090517241,2015-01-05,2016-03-28
409,4001,CARROLL,13.9498418248,239834.64,167.716531469,51401,Carroll,7705.41,5.3883986014,19420.5,13.5807692308,2015-01-08,2016-03-31
410,4004,AMES,15.0984393723,381233.64,165.970239443,50010,Story,12180.94,5.30297779713,28041.75,12.2079886809,2015-01-07,2016-03-30
